C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\shiro-main\config\core\pom.xml;Dependency {groupId=org.apache.shiro, artifactId=shiro-lang, version=null, type=jar};USED;1
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\shiro-main\config\ogdl\pom.xml;Dependency {groupId=org.apache.shiro, artifactId=shiro-lang, version=null, type=jar};USED;1
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\shiro-main\config\ogdl\pom.xml;Dependency {groupId=org.apache.commons, artifactId=commons-configuration2, version=null, type=jar};USED;1
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\shiro-main\config\ogdl\pom.xml;Dependency {groupId=org.apache.shiro, artifactId=shiro-event, version=null, type=jar};USED;1
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\shiro-main\config\ogdl\pom.xml;Dependency {groupId=org.apache.shiro, artifactId=shiro-config-core, version=null, type=jar};USED;1
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\shiro-main\config\ogdl\pom.xml;Dependency {groupId=commons-beanutils, artifactId=commons-beanutils, version=null, type=jar};USED;3
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\shiro-main\config\ogdl\pom.xml;Dependency {groupId=org.slf4j, artifactId=slf4j-api, version=null, type=jar};USED;2
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\shiro-main\config\ogdl\pom.xml;Dependency {groupId=org.slf4j, artifactId=slf4j-simple, version=null, type=jar};UNUSED
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\shiro-main\config\ogdl\pom.xml;Dependency {groupId=org.slf4j, artifactId=jcl-over-slf4j, version=null, type=jar};UNUSED
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\shiro-main\core\pom.xml;Dependency {groupId=org.apache.shiro.crypto, artifactId=shiro-hashes-argon2, version=null, type=jar};USED;1
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\shiro-main\core\pom.xml;Dependency {groupId=org.apache.shiro, artifactId=shiro-crypto-cipher, version=null, type=jar};USED;1
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\shiro-main\core\pom.xml;Dependency {groupId=org.apache.shiro, artifactId=shiro-event, version=null, type=jar};USED;1
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\shiro-main\core\pom.xml;Dependency {groupId=org.apache.shiro, artifactId=shiro-config-ogdl, version=null, type=jar};USED;1
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\shiro-main\core\pom.xml;Dependency {groupId=org.apache.shiro, artifactId=shiro-cache, version=null, type=jar};USED;1
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\shiro-main\core\pom.xml;Dependency {groupId=org.apache.shiro, artifactId=shiro-crypto-hash, version=null, type=jar};USED;1
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\shiro-main\core\pom.xml;Dependency {groupId=org.apache.shiro.crypto, artifactId=shiro-hashes-bcrypt, version=null, type=jar};USED;1
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\shiro-main\core\pom.xml;Dependency {groupId=org.apache.shiro, artifactId=shiro-lang, version=null, type=jar};USED;1
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\shiro-main\core\pom.xml;Dependency {groupId=org.apache.shiro, artifactId=shiro-config-core, version=null, type=jar};USED;1
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\shiro-main\pom.xml;Dependency {groupId=org.mockito, artifactId=mockito-core, version=${mockito.version}, type=jar};USED;4
